CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8306","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 264","Lingenfelter, G ","0","Closed",
"8307","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 264","Lingenfelter, G ","1","Open",
"8308","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 372","Frucot, V G.","3","Open",
"8310","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","0800-0915","LUTR 347","Caldwell, J T.","0","Closed",
"8311","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","0930-1045","LUTR 347","Caldwell, J T.","0","Closed",
"8312","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MWF","1000-1050","LUTR 139","Brooks, A","0","Closed",
"8313","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MW","1600-1715","LUTR 269","Adut, D","1","Open",
"8314","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","TR","0800-0915","LUTR 137","Call, J E.","2","Open",
"8315","ACCT 202","6","Prin of Account II: Managerial","3","","Lec","MWF","0900-0950","LUTR 139","Brooks, A","0","Closed",
"8316","ACCT 202","7","Prin of Account II: Managerial","3","","Lec","MWF","1300-1350","LUTR 242","Brooks, A","0","Closed",
"8317","ACCT 202","8","Prin of Account II: Managerial","3","","Lec","MWF","1400-1450","LUTR 264","Brooks, A","0","Closed",
"8318","ACCT 202","9","Prin of Account II: Managerial","3","","Lec","MW","1800-1915","LUTR 269","Lindquist, A","0","Closed",
"8309","ACCT 301","1","Intermediate Accounting I","3","","Lec","MW","1930-2045","LUTR 372","Frucot, V G.","4","Open",
"8319","ACCT 302","1","Intermediate Accounting II","3","","Lec","TR","1500-1615","LUTR 105","Adut, D ","3","Open",
"8320","ACCT 302","2","Intermediate Accounting II","3","","Lec","TR","1330-1445","LUTR 105","Adut, D ","0","Closed",
"8321","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","0800-0915","LUTR 139","Morris, J","7","Open",
"8322","ACCT 303","2","Cost/Managerial Accounting","3","","Lec","TR","1100-1215","TRIB 208","Morris, J","2","Open",
"9224","ACCT 395","1","Sp Tpc:Prof/Legal Responsibili","3","","Lec","TR","1330-1445","LUTR 131","Cohen, R ","9","Open",
"8323","ACCT 401","1","Taxation","3","","Lec","MW","1800-1915","LUTR 347","Morris, J W.","1","Open",
"8324","ACCT 402","1","Advanced Taxation","3","","Lec","MW","1600-1715","LUTR 347","Morris, J","0","Closed",
"8325","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Lingenfelter, G","0","Closed",
"8326","ACCT 405","W1","WI: Auditing","3","  WI","Lec","MWF","1100-1150","LUTR 264","Lingenfelter, G","1","Open",
"8327","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","MW","1800-1915","LUTR 372","Frucot, V G.","5","Open",
"8328","ACCT 480","1","Internship in Accounting","3","","Int","","","ARR ","Lingenfelter, G ","0","Closed",
"9421","ACCT 480","2","Internship in Accounting","3","","Int","","","ARR ","Morris, J W.","0","Closed",
"8995","AMST 100","2","The American Experiment","3","  AIWT","Lec","TR","1330-1445","MCM 260","Mathie, M","0","Closed",
"8996","AMST 100","3","The American Experiment","3","  AIWT","Lec","TR","1500-1615","MCM 260","Mathie, M","0","Closed",
"8997","AMST 100","4","The American Experiment","3","  AIWT","Lec","MW","1800-1915","MCM 160","Kundmueller, M D.","0","Closed",
"8998","AMST 100","5","The American Experiment","3","  AIWT","Lec","TR","1100-1215","MCM 101","Mathie, M E.","0","Closed",
"9004","AMST 100","6","The American Experiment","3","  AIWT","Lec","MWF","1400-1450","FORBES 2070A","Kundmueller, M","0","Closed",
"9005","AMST 100","7","The American Experiment","3","  AIWT","Lec","MWF","1300-1350","FORBES 2070E","Kundmueller, M M.","3","Open",
"8999","AMST 200","1","Evolution-American Experiment","3","  AIII  ","Lec","MWF","0900-0950","MCM 357","Busch, E R","1","Open",
